CUST_Type,CUST_Name,phoneNumber,address,district,longitude,latitude
Low End,JOY C(C3),247776110,Somanya,South,-0.0198,6.11399
Low End,BONASE SPOT(C1),247570389,Somanya,South,-0.01933,6.11161
Low End,BIG JACK SPOT(C3),242889178,Somanya,South,-0.01685,6.09565
Mainstream,MAMMUNA INN(B2),545022718,Somanya,South,-0.01633,6.09384
Low End,B GRACE SPOT(C3),244156525,Somanya,South,-0.01805,6.09378
Low End,JEFF SPOT(C1),243209602,Somanya,South,-0.01865,6.09406
Mainstream,SRA MEMORIAL(C3),249073216,Somanya,South,-0.01828,6.09568
Mainstream,NEXT LEVEL(C3),246188482,Somanya,South,-0.01635,6.10049
Mainstream,QUEEN'S EXECUTIVE PUB(B3),543062673,Somanya,South,-0.01525,6.10338
Mainstream,POINT 7(C2),555839796,Somanya,South,-0.0128154,6.1058911
Wholesaler,By his Grace Odumase,207220383,Somanya,South,0.00222,6.13248
Mainstream,AWO'S SPOT(C3),509797455,Somanya,South,-0.01093,6.10368
Low End,Shiela's Pub,244101701,Somanya,South,-0.00996,6.10598
Mainstream,THE GUV'NOR(A3),244088824,Somanya,South,-0.0075,6.10583
Low End,DJA A DE MO SPOT,557876300,Somanya,South,-0.00625,6.11146
Low End,NENEBI(B3),249171128,Somanya,South,-0.00578,6.11375
Low End,Classical Bar,243567654,Ghana,South,-0.00328,6.11712
Low End,FORGET ME NOT(C3),240639367,Somanya,South,-0.00314,6.12066
Low End,DISKA SPECIAL JOINT(C3),592797900,Somanya,South,-0.00191,6.12345
Wholesaler,MAA BEE(A3),249920173,Somanya,South,0.01349,6.14785
Wholesaler,LOME VENTURES(A2),543207183,Somanya,South,0.0183112,6.1517906
Low End,GROOVE PUB(B3),244443309,Somanya,South,0.02369,6.15552
Low End,KBH SPOT(C3),542554728,Somanya,South,0.02454,6.15611
Mainstream,KINGZMEN PUB(C3),545922736,Somanya,South,0.02539,6.15658
Wholesaler,LIZY'S(B3),554438759,Somanya,South,0.03633,6.15742
Mainstream,TINA'S(C1),553143495,Accra,South,0.0640733,6.161129
Mainstream,Wembley Koforidua,541568822,Accra,South,-0.30431,5.65566
Low End,Narita Spot,244565432,Ghana,South,0.04448,6.09646
Low End,Africana Stop Over,242752992,Accra,South,0.04443,6.09588
Low End,TERROR SPOT(C3),545457750,Somanya,South,-0.00355,6.10215
Low End,RAEVICO(C3),246476806,Somanya,South,-0.00810,6.10007
Low End,BE SERIOUS(C3),555950728,Somanya,South,-0.01753,6.09990
Mainstream,Sungtaa's Cottage,244409557,Accra,South,-0.26954,6.09394
Mainstream,Lydia,534430659,Accra,South,-0.30466,5.65403
Mainstream,Canoe Pub,243701936,Accra,South,-0.25069,6.07072
Mainstream,Mats,240664559,Accra,South,-0.32462,5.65612
Low End,NO 1 JOINT(C1),244870549,Somanya,South,-0.02221,6.10553
Low End,TWINS BASE(C3),244792569,Somanya,South,-0.0184316,6.1063857
Low End,MAMA KAY'S SPOT(C3),552423448,Somanya,South,-0.01800,6.10654
Low End,KOFI'S(C1),207370571,Somanya,South,-0.01598,6.10644
Low End,RICARDO SPOT(C3),242844276,Somanya,South,-0.01590,6.10642
Low End,LIBERTY SPOT(C1),245229446,Somanya,South,-0.01514,6.10617
Wholesaler,MARTHA TEYE VENTURES(A3),244573057,Somanya,South,-0.01446,6.10487
Low End,NIBEC SPOT(C3),546636369,Somanya,South,-0.01356,6.10483
Low End,APPLE SPOT(B3),244170367,Somanya,South,-0.01346,6.10475
Low End,KOBBY'S SPOT(C3),543546254,Somanya,South,-0.01319,6.10531
Wholesaler,POINT 7 VENTURES(A3),205937884,Somanya,South,-0.01291,6.10577
Low End,Sosito Spot,242980110,Somanya,South,-0.00688,6.11140
Wholesaler,Mark K Enterprise,245255446,Somanya,South,-0.00575,6.11500
Low End,ROSE VILLA(C3),245724273,Somanya,South,-0.01266,6.11057
Low End,liquid Food house,548687376,Ghana,South,-0.2511661,6.0857806
Low End,Oldtimers Spot Srudae,243878481,Ghana,South,-0.2538127,6.0898466
Low End,Bonsu Brothers,247421003,Accra,South,-0.25413,6.09041
Low End,Nana Afia Enterprise,541557830,Koforidua,South,-0.25469,6.09093
Mainstream,HEARTY HOME(C2),240622170,Koforidua,South,-0.099276,5.960733
Wholesaler,If Jesus say yes Bar,242779975,Ghana,South,-0.0907,5.9686
Mainstream,After 5 spot Akropong,248938455,Accra,South,-0.33006,5.64186
Low End,NAANA SPOT AKROPONG(C2),200919897,Accra,South,-0.0904968,5.9692683
Mainstream,Rasmattaz Pub,544505016,Accra,South,-0.3433,5.64549
Low End,Sarkodie Spot,243365489,Ghana,South,-0.08651,5.97561
Mainstream,Nash Spot,244277031,Accra,South,-0.35026,5.63045
Mainstream,ABAA SPOT(B3),246558359,Accra,South,-0.29554,5.6022
Mainstream,GOD IS IN CONTROL(C3),246358598,Accra,South,-0.28768,5.59967
Low End,BIG CHEF(C3),556453023,Somanya,South,-0.01882,6.07813
Mainstream,G - unit Hotel,243662224,Somanya,South,-0.0196,6.07913
Low End,DON'T ENVY ME(C3),242030668,Accra,South,-0.0193908,6.082164
Mainstream,UNIVERSAL SPOT(C3),246314845,Somanya,South,-0.01929,6.08504
Low End,Universal SpotSomanya -So,246314845,Ghana,South,-0.01899,6.08501
Low End,ULTIMATE(C3),242914520,Somanya,South,-0.01853,6.08514
Low End,LATEST SPOT(B3),241290704,Somanya,South,-0.01907,6.08702
Low End,AGARTHA SPOT(C3),246333307,Accra,South,-0.0205334,6.090226
Low End,MARY SPOT(C3),545530211,Somanya,South,-0.02233,6.09317
Low End,CHICAGO SPOT(C3),507744573,Somanya,South,-0.02154,6.09457
Low End,LEVELS(C3),244970784,Somanya,South,-0.02123,6.09462
Low End,Levels SpotSomanya -Soman,243545676,Ghana,South,-0.02122,6.09476
