CUST_Type,CUST_Name,phoneNumber,address,district,longitude,latitude
High End,Marina Supermarket-Madina,544312389,Accra,South,-0.17098,5.68858
Wholesaler,Naa Adwoa Enterprise (Kaneshie),0242970339,Accra,South,-0.24853,5.64334
Mainstream,Sky Bar (Atico),547259379,Accra,South,-0.23093,5.57737
Mainstream,Shake Body,554631421,Accra,South,-0.23265,5.56522
Mainstream,C connie,248435947,Accra,South,-0.23337,5.56503
Wholesaler,Sabisco enterprise,240558108,Ghana,South,-0.299304,5.6523876
High End,Marina Baatsona,544312389,Accra,South,-0.08484,5.62653
Mainstream,West Home,242519088,Accra,South,-0.29232,5.67259
Mainstream,Shell bar,506888000,Accra,South,-0.291505,5.673228
High End,Baatsona Total-Maybek,544312389,Accra,South,-0.08709,5.62736
Low End,Laimomo sections pub,270479230,Ghana,South,-0.2999109,5.7054267
Low End,Enso Nyame ye Dees pub,546828203,Ghana,South,-0.2996278,5.710328
Mainstream,Osei spot,242081353,Ghana,South,-0.2977165,5.7176433
Low End,PELE,501097337,Ghana,South,-0.3213196,5.753924
Low End,MARY SHOP,501097337,Ghana,South,-0.3213196,5.753924
Low End,Obeniwaa Spot,501097337,Ghana,South,-0.3213196,5.753924
Low End,Ant Eagle,501097337,Accra,South,-0.3213196,5.753924
Low End,Adom,501097337,Ghana,South,-0.3213196,5.753924
Low End,Peace & Love,501097337,Ghana,South,-0.3213196,5.753924
Low End,OBUOBA,501097337,Ghana,South,-0.3213196,5.753924
Low End,IVY,501097337,Ghana,South,-0.3213196,5.753924
Low End,Na kwan,501097337,Ghana,South,-0.3213196,5.753924
Low End,MAFIA SPOT,501097337,Ghana,South,-0.3213196,5.753924
Low End,PINK SHEET,501097337,Ghana,South,-0.3213196,5.753924
Wholesaler,RENE'S Ent.,501097337,Ghana,South,-0.3213196,5.753924
Low End,MILOOS PLAZE,501097337,Ghana,South,-0.3213196,5.753924
Low End,Ball Close Spot and Bar,501097337,Ghana,South,-0.3213196,5.753924
Low End,AMAZING GRACE 2,501097337,Ghana,South,-0.3213196,5.753924
Low End,T PUB,501097337,Ghana,South,-0.3213196,5.753924
Low End,Ampemsco City,501097337,Ghana,South,-0.3213196,5.753924
Low End,Kokoase Spot,501097337,Ghana,South,-0.3213196,5.753924
Low End,Washing Bay,501097337,Ghana,South,-0.3213196,5.753924
Low End,Auntie Mercy,501097337,Ghana,South,-0.3213196,5.753924
Low End,Atifa,501097337,Ghana,South,-0.3213196,5.753924
Wholesaler,Rej anast ent.,501097337,Ghana,South,-0.3213196,5.753924
Low End,Lady j,501097337,Ghana,South,-0.3213196,5.753924
Low End,Lovers Inn,501097337,Ghana,South,-0.3213196,5.753924
Low End,ROSE,501097337,Ghana,South,-0.3213196,5.753924
Low End,Peace and Love Spot,501097337,Ghana,South,-0.3213196,5.753924
Low End,Nfinity Pub,501097337,Ghana,South,-0.3213196,5.753924
Low End,Mawuli Spot,501097337,Ghana,South,-0.3213196,5.753924
Low End,Bombo,501097337,Ghana,South,-0.3213196,5.753924
Low End,WILLIBOD,501097337,Ghana,South,-0.3213196,5.753924
Low End,Hang Over,501097337,Ghana,South,-0.3213196,5.753924
Low End,Mr. Mensah,501097337,Ghana,South,-0.3213196,5.753924
Low End,Nsawam Railway Spot,501097337,Ghana,South,-0.3213196,5.753924
Low End,Lovers spot,501097337,Ghana,South,-0.3213196,5.753924
Low End,THE ALTNMATE PUB,501097337,Ghana,South,-0.3213196,5.753924
Low End,ANTY MERCY,501097337,Ghana,South,-0.3213196,5.753924
Low End,Ayawaso Corner,501097337,Ghana,South,-0.3213196,5.753924
Low End,Sojia Bar,501097337,Ghana,South,-0.3213196,5.753924
Low End,Fise Spot,501097337,Ghana,South,-0.3213196,5.753924
Low End,HOME BOY Wholesale,501097337,Ghana,South,-0.3213196,5.753924
Low End,Jeffa,501097337,Ghana,South,-0.3213196,5.753924
Low End,Auntie Ema,501097337,Ghana,South,-0.3213196,5.753924
Low End,NEW WORLD,501097337,Ghana,South,-0.3213196,5.753924
Low End,The wives spot,501097337,Ghana,South,-0.3213196,5.753924
Low End,Alfacon bar,501097337,Ghana,South,-0.3213196,5.753924
Low End,Africa,501097337,Ghana,South,-0.3213196,5.753924
Low End,CROSSING SPOT,501097337,Ghana,South,-0.3213196,5.753924
Low End,HAPPY DAYS,501097337,Ghana,South,-0.3213196,5.753924
Low End,ANTI LITICIA,501097337,Ghana,South,-0.3213196,5.753924
Low End,Rose Pub,501097337,Ghana,South,-0.3213196,5.753924
Low End,New World spot,501097337,Ghana,South,-0.3213196,5.753924
Low End,Kings Spot,501097337,Ghana,South,-0.3213196,5.753924
Low End,BEVERAGE,501097337,Ghana,South,-0.32131,5.75392
Low End,SCHOOL,501097337,Ghana,South,-0.3213196,5.753924
Low End,BISMARK,501097337,Ghana,South,-0.3213196,5.753924
Low End,PSALM 23,501097337,Ghana,South,-0.3213196,5.753924
Low End,London bridge,501097337,Ghana,South,-0.3213196,5.753924
Wholesaler,Temiperi,247585950,Accra,South,-0.1779248,5.77422
Wholesaler,Ayesem ventures,541248324,Accra,South,-0.1587887,5.5971
High End,China mall- Manet,549667283,Accra,South,-0.126937,5.63928
Low End,D&D Spot,501097337,Ghana,South,-0.3213196,5.753924
Wholesaler,Blessed way maker Enterprise,553640406,Accra,South,-0.150628,5.79134
Low End,Maggies Inn,501097337,Ghana,South,-0.3213196,5.753924
Low End,RIVER OCEAN,244764963,Accra,South,-0.3213196,5.753924
Wholesaler,Svadeshi Ghana Limited,505062023,Accra,South,-0.169777,5.56223
Wholesaler,Lynpet,537989451,Accra,South,-0.3339893,5.67475
Low End,Timberland,501097337,Ghana,South,-0.3213196,5.753924
Low End,M and J Lartey,501097337,Ghana,South,-0.3213196,5.753924
Low End,Here Joe bar,501097337,Ghana,South,-0.3213196,5.753924
Low End,Narh Joseph,501097337,Ghana,South,-0.3213196,5.753924
Low End,Adepa-Asofa,501097337,Ghana,South,-0.3213196,5.753924
Low End,Maggie A-lang,501097337,Accra,South,-0.236536,5.619864
Low End,Happy Your Self,501097337,Ghana,South,-0.3213196,5.753924
Low End,FAUSTINA DARKO,501097337,Ghana,South,-0.3213196,5.753924
Low End,Stone corner,501097337,Ghana,South,-0.3213196,5.753924
Low End,Sonetra bar,501097337,Ghana,South,-0.3213196,5.753924
Low End,Boatemaa's Place,244450413,Ghana,South,-0.26184,5.5834
Low End,CHICAGO,501097337,Ghana,South,-0.3213196,5.753924
Low End,RAISDOT,501097337,Ghana,South,-0.3213196,5.753924
Wholesaler,FETCH ENT.,501097337,Ghana,South,-0.3213196,5.753924
Low End,MR AMPAH,501097337,Ghana,South,-0.3213196,5.753924
Low End,Fregies,501097337,Ghana,South,-0.3213196,5.753924
Low End,El Passo Pub,501097337,Ghana,South,-0.3213196,5.753924
Low End,EVIDENCE CORNER,501097337,Ghana,South,-0.3213196,5.753924
Low End,ODO SPOT,501097337,Ghana,South,-0.3213196,5.753924
Low End,Obolo Spot,501097337,Ghana,South,-0.3213196,5.753924
Low End,Adepa,501097337,Ghana,South,-0.3213196,5.753924
Low End,Chris Love,501097337,Ghana,South,-0.3213196,5.753924
Wholesaler,O.J ent.,501097337,Ghana,South,-0.3213196,5.753924
Low End,Mama t,501097337,Ghana,South,-0.3213196,5.753924
Low End,Mama luu,501097337,Ghana,South,-0.3213196,5.753924
Low End,Banafos spot,501097337,Ghana,South,-0.3213196,5.753924
Wholesaler,Suzy Ent.,244603198,Accra,South,-0.241191,5.602361679
Low End,Fairview spot,501097337,Ghana,South,-0.3213196,5.753924
Wholesaler,HELEN VENTURES,501097337,Ghana,South,-0.3213196,5.753924
Wholesaler,EMMANUEL VENTURES,205845298,Ghana,South,-0.32131,5.57871
Low End,SERAH,501097337,Ghana,South,-0.3213196,5.753924
Low End,Jah Love,501097337,Ghana,South,-0.3213196,5.753924
Low End,VIDA (SAPEIMAN),501097337,Ghana,South,-0.3213196,5.753924
Low End,AppleBase,501097337,Ghana,South,-0.3213196,5.753924
Low End,ADEPA,501097337,Ghana,South,-0.3213196,5.753924
Low End,TURNING POINT,501097337,Ghana,South,-0.3213196,5.753924
Low End,Garden spot,501097337,Ghana,South,-0.3213196,5.753924
Low End,Dromo Naa Pub,501097337,Ghana,South,-0.3213196,5.753924
Low End,Koo Win Spot,501097337,Ghana,South,-0.3213196,5.753924
Low End,SDA Store,501097337,Ghana,South,-0.3213196,5.753924
Low End,Auntie Ama,501097337,Ghana,South,-0.3213196,5.753924
Low End,Latest Corner,501097337,Ghana,South,-0.3213196,5.753924
Low End,Nadjow,501097337,Ghana,South,-0.3213196,5.753924
Low End,De joint,501097337,Ghana,South,-0.3213196,5.753924
Low End,Galali Mame,501097337,Ghana,South,-0.3213196,5.753924
Low End,Brothers Corner,501097337,Ghana,South,-0.3213196,5.753924
Low End,Simple Spot,598745251,Accra,South,-0.3213196,5.753924
Wholesaler,Solar venture,249315638,Ghana,South,-0.3262059,5.7614706
Low End,Lion's temple,249656668,Ghana,South,-0.3245972,5.764794
Low End,Total mart,247963230,Ghana,South,-0.3386913,5.7913605
Low End,Veros Inn,557784456,Ghana,South,-0.34776,5.74628
Low End,Kaeyigooma Spot,266541784,Ghana,South,-0.35338,5.74217
Mainstream,Skaybek,244778197,Accra,South,-0.3349727,5.6825669
Low End,Deladem Pub,244046002,Ghana,South,-0.3370461,5.668734
Low End,Insakina,540605072,Accra,South,-0.3270167,5.6611115
Mainstream,Guiness Bar,247708005,Accra,South,-0.3207306,5.657604
Low End,Yehowa Spot,556214852,Ghana,South,-0.35183,5.73738
Low End,Sky rainbow,206780076,Ghana,South,-0.2792941,5.6987083
Low End,Malizia pub and bar,501097337,Ghana,South,-0.3213196,5.753924
Low End,White house,501097337,Ghana,South,-0.3213196,5.753924
Low End,PLEASURE GARDENS,501097337,Ghana,South,-0.3213196,5.753924
Wholesaler,JULLIE VENTURES,501097337,Ghana,South,-0.3213196,5.753924
Low End,CHAMPION SPOT,501097337,Ghana,South,-0.3213196,5.753924
Low End,Jirehs pub,501097337,Ghana,South,-0.3213196,5.753924
Wholesaler,MANSAH ENT.,501097337,Ghana,South,-0.3213196,5.753924
Low End,Ohenewaa,501097337,Ghana,South,-0.3213196,5.753924
Low End,Aduana,501097337,Ghana,South,-0.3213196,5.753924
Low End,Manyie Pub,501097337,Ghana,South,-0.3213196,5.753924
Wholesaler,TUGA ENT.,501097337,Ghana,South,-0.3213196,5.753924
Low End,IRENE,501097337,Ghana,South,-0.3213196,5.753924
Low End,Jeta spot,501097337,Ghana,South,-0.3213196,5.753924
Low End,Franco spot,501097337,Ghana,South,-0.3213196,5.753924
Low End,Ice Berg,501097337,Ghana,South,-0.3213196,5.753924
Low End,United gardens,501097337,Ghana,South,-0.3213196,5.753924
Wholesaler,FETCH ENT,501097337,Ghana,South,-0.3213196,5.753924
Low End,MOTHER,501097337,Ghana,South,-0.3213196,5.753924
Low End,God is Able,501097337,Ghana,South,-0.3213196,5.753924
Low End,Amomola Spot,501097337,Ghana,South,-0.3213196,5.753924
Low End,Chapion Spot,501097337,Ghana,South,-0.3213196,5.753924
Low End,Peace and Love Spot B,501097337,Ghana,South,-0.3213196,5.753924
Low End,Sarpong-Nsakina,501097337,Ghana,South,-0.3213196,5.753924
Low End,Dominion,501097337,Ghana,South,-0.3213196,5.753924
Low End,Odor Stores,501097337,Ghana,South,-0.3213196,5.753924
Low End,BLESSED FAMILY,501097337,Ghana,South,-0.3213196,5.753924
Low End,Micange,501097337,Ghana,South,-0.3213196,5.753924
Low End,Cottage afrik,501097337,Ghana,South,-0.3213196,5.753924
Low End,MADAM ARYITEY,501097337,Ghana,South,-0.3213196,5.753924
Low End,ASANTEWAA,501097337,Ghana,South,-0.3213196,5.753924
Low End,MAMA DEE SPOT,501097337,Ghana,South,-0.3213196,5.753924
Low End,KUNTUNSE SCHOOL,501097337,Ghana,South,-0.3213196,5.753924
Low End,Perfect Kitchen,501097337,Ghana,South,-0.3213196,5.753924
Low End,Ladies spot,249714696,Ghana,South,-0.3213196,5.753924
Low End,First Winner,501097337,Ghana,South,-0.3213196,5.753924
Low End,SIS AKOS,501097337,Ghana,South,-0.3213196,5.753924
Wholesaler,Gladys Ent.,501097337,Ghana,South,-0.3213196,5.753924
Low End,Auntie Maggie,501097337,Ghana,South,-0.3213196,5.753924
Low End,Trafalga spot,501097337,Ghana,South,-0.3213196,5.753924
Low End,Green Pub,501097337,Ghana,South,-0.3213196,5.753924
Low End,Phildore,501097337,Ghana,South,-0.3213196,5.753924
Low End,Abease,501097337,Ghana,South,-0.3213196,5.753924
Low End,V-12,501097337,Ghana,South,-0.3213196,5.753924
Low End,E.t. Spot,501097337,Ghana,South,-0.3213196,5.753924
Low End,Rendez tasty treat,501097337,Ghana,South,-0.3213196,5.753924
Low End,Not the World but people,501097337,Ghana,South,-0.3213196,5.753924
Low End,Its Jesus,501097337,Ghana,South,-0.3213196,5.753924
Low End,Yes Yes,501097337,Ghana,South,-0.3213196,5.753924
Low End,Sister Esi,501097337,Ghana,South,-0.3213196,5.753924
Low End,Peace & Love Annex,501097337,Ghana,South,-0.3213196,5.753924
Wholesaler,Layial Enterprise,243033021,Ghana,South,-0.3213196,5.753924
Low End,ENOCH,501097337,Ghana,South,-0.3213196,5.753924
Low End,Oklahoma,501097337,Ghana,South,-0.3213196,5.753924
Wholesaler,Geelex Ventures,501097337,Ghana,South,-0.3213196,5.753924
Low End,Olebu Hotel,501097337,Ghana,South,-0.3213196,5.753924
Low End,NANA YAA,501097337,Ghana,South,-0.2380777,5.753924
Wholesaler,SUSAN ENT.,501097337,Ghana,South,-0.3213196,5.753924
Low End,Tops,501097337,Ghana,South,-0.3213196,5.753924
Low End,Neighbours,501097337,Ghana,South,-0.3213196,5.753924
Low End,PINK LADY,501097337,Ghana,South,-0.3213196,5.753924
Wholesaler,OWUSUA VENTURES,501097337,Ghana,South,-0.3213196,5.753924
Low End,Kiki's pub,501097337,Ghana,South,-0.3213196,5.753924
Low End,SWEET LOPS RESTAURANT,501097337,Ghana,South,-0.3213196,5.753924
Wholesaler,ADOM VENTURES,501097337,Ghana,South,-0.3213196,5.753924
Wholesaler,MAMA LEE ENTERPRISE,501097337,Ghana,South,-0.3213196,5.753924
Low End,Kukuwa Spot,501097337,Ghana,South,-0.3213196,5.753924
Low End,Nana Ama Spot,501097337,Ghana,South,-0.3213196,5.753924
Low End,Sis Ataa,501097337,Ghana,South,-0.3213196,5.753924
Low End,Kingdom,501097337,Ghana,South,-0.3213196,5.753924
Low End,Dua Eyeden Spot,501097337,Ghana,South,-0.3213196,5.753924
Low End,Prison canteen,501097337,Ghana,South,-0.3213196,5.753924
Wholesaler,C. Centre,501097337,Ghana,South,-0.3213196,5.753924
Low End,Freders Corner,501097337,Ghana,South,-0.3213196,5.753924
Low End,Marioff,501097337,Ghana,South,-0.3213196,5.753924
Low End,Jerusalem,501097337,Ghana,South,-0.3213196,5.753924
Low End,GOODNESS,501097337,Ghana,South,-0.3213196,5.753924
Low End,PAPAYA,501097337,Ghana,South,-0.3213196,5.753924
Low End,JT PUB,501097337,Ghana,South,-0.3213196,5.753924
Low End,MIGHTY TOWER,501097337,Ghana,South,-0.3213196,5.753924
Low End,HANIEM),501097337,Ghana,South,-0.3213196,5.753924
Wholesaler,JULLIE ENT.,501097337,Ghana,South,-0.3213196,5.753924
Low End,SEFINITA BAR,501097337,Ghana,South,-0.3213196,5.753924
Wholesaler,Sister Efia Ent.,501097337,Ghana,South,-0.3213196,5.753924
Low End,Club House,501097337,Ghana,South,-0.3213196,5.753924
Low End,Linda Dor,501097337,Ghana,South,-0.3213196,5.753924
Low End,Bar Sportivo,501097337,Ghana,South,-0.3213196,5.753924
Low End,Annor Marilyn,501097337,Ghana,South,-0.3213196,5.753924
Wholesaler,TINA ENT.,501097337,Ghana,South,-0.3213196,5.753924
Wholesaler,Loret Ent.,501097337,Ghana,South,-0.3213196,5.753924
Low End,Rejoice Not,501097337,Ghana,South,-0.3213196,5.753924
Low End,Lizzy Pub,501097337,Ghana,South,-0.3213196,5.753924
Low End,Edna Pub,501097337,Ghana,South,-0.3213196,5.753924
Low End,Virgin house,501097337,Ghana,South,-0.3213196,5.753924
Wholesaler,MACLEAN VENTURES,501097337,Ghana,South,-0.3213196,5.753924
Low End,Maa London,501097337,Ghana,South,-0.3213196,5.753924
Low End,EYAS RETAIL,501097337,Ghana,South,-0.3213196,5.753924
Low End,Merry Spot,501097337,Ghana,South,-0.3213196,5.753924
Low End,Joana Pub,501097337,Ghana,South,-0.3213196,5.753924
Low End,Okere Bar,501097337,Ghana,South,-0.3213196,5.753924
Low End,Aseda Maane,501097337,Ghana,South,-0.3213196,5.753924
Low End,Zion spot,501097337,Ghana,South,-0.3213196,5.753924
Low End,Living spot,501097337,Ghana,South,-0.3213196,5.753924
Low End,Hide Out,501097337,Ghana,South,-0.2285357,5.753924
Low End,PALOMA SPOT,501097337,Ghana,South,-0.3213196,5.753924
Low End,Esinam,501097337,Ghana,South,-0.3213196,5.753924
Low End,Micky,501097337,Ghana,South,-0.3213196,5.753924
Low End,Freedom,501097337,Ghana,South,-0.3213196,5.753924
Low End,Royal triangle,501097337,Ghana,South,-0.3213196,5.753924
Low End,Costero,501097337,Ghana,South,-0.3213196,5.753924
Low End,MAKANZ,501097337,Ghana,South,-0.3213196,5.753924
Low End,P.K.S,501097337,Ghana,South,-0.3213196,5.753924
Low End,Green Life pub,501097337,Ghana,South,-0.3213196,5.753924
Wholesaler,Mabel Ent.,501097337,Ghana,South,-0.3213196,5.753924
Wholesaler,DEE VENTURES,501097337,Ghana,South,-0.3213196,5.753924
Low End,God Bless America,501097337,Ghana,South,-0.3213196,5.753924
Wholesaler,Kadija H Ent,501097337,Ghana,South,-0.3213196,5.753924
Low End,Liberty Spot,501097337,Ghana,South,-0.3213196,5.753924
Low End,Asu Rock,501097337,Ghana,South,-0.3213196,5.753924
Wholesaler,Mummy Ent.,501097337,Ghana,South,-0.3213196,5.753924
Wholesaler,Afragyei Ventures,501097337,Ghana,South,-0.3213196,5.753924
Low End,Taller spot,501097337,Ghana,South,-0.3213196,5.753924
Low End,Casino spot,501097337,Ghana,South,-0.3213196,5.753924
Low End,Chicago,501097337,Ghana,South,-0.3213196,5.753924
Wholesaler,E and K Ent.,501097337,Ghana,South,-0.3213196,5.753924
Low End,Elvis spot,501097337,Ghana,South,-0.3213196,5.753924
Low End,ATTAAMOAH,501097337,Ghana,South,-0.3213196,5.753924
Low End,BREAKTHROUGH,501097337,Ghana,South,-0.3213196,5.753924
Mainstream,Rita Gyan,1234,Ghana,South,-0.3161438,5.6962956
Mainstream,Bishop Canteen,502247247,Ghana,South,-0.23879,5.57204
Mainstream,The looks spot,557327631,Accra,South,-0.23413,5.56527
Mainstream,TSO3 SHI,244718720,Accra,South,-0.23843,5.57029
Mainstream,Donkyte pub and grill,208155867,Accra,South,-0.22737,5.56989
Mainstream,Kaygors,246193419,Accra,South,-0.23149,5.56699
Mainstream,kofi store,543713275,Accra,South,-0.22938,5.56914
Mainstream,O.B spot,244706723,Accra,South,-0.22923,5.56912
Mainstream,FRENZY'S PUB,244975233,Accra,South,-0.22642,5.57199
Low End,Mary spot,507337342,Ghana,South,-0.273512,5.5975
Low End,Salo spot,263199541,Accra,South,-0.2067997,5.6076133
Wholesaler,Grace Ventures,244185924,Ghana,South,-0.2647468,5.6594736
Low End,Front and back pub,541471871,Ghana,South,-0.2813862,5.686439
Low End,Okwahu spot,276396113,Ghana,South,-0.2848178,5.6944327
Low End,Hide Out Pub,208237086,Ghana,South,-0.2852664,5.69355
Low End,Lormnava,542658903,Ghana,South,-0.2971293,5.716595
Low End,Maa Jane Spot,200365412,Ghana,South,-0.31608,5.74257
Low End,The Lord Is My Sheperd,577894512,Ghana,South,-0.31851,5.74675
Wholesaler,Annable enterprise,507360033,Ghana,South,-0.3195311,5.7483908
Low End,Spot m,501097337,Ghana,South,-0.3213196,5.753924
Low End,Rabito spot,501097337,Ghana,South,-0.3213196,5.753924
Low End,DASANYO SPOT,501097337,Ghana,South,-0.3213196,5.753924
Low End,Vera Spot,501097337,Ghana,South,-0.3213196,5.753924
Low End,3rd Eye Spot,501097337,Ghana,South,-0.3213196,5.753924
Low End,Adodo,501097337,Ghana,South,-0.3213196,5.753924
Low End,T- Spot,501097337,Ghana,South,-0.3213196,5.753924
Low End,Hasha,501097337,Ghana,South,-0.3213196,5.753924
Low End,J B Store,501097337,Ghana,South,-0.3213196,5.753924
Low End,Kyepong,501097337,Ghana,South,-0.3213196,5.753924
Wholesaler,Mawuli Ent.,501097337,Ghana,South,-0.3213196,5.753924
Low End,ADOM (SAPEIMAN),501097337,Ghana,South,-0.3213196,5.753924
Low End,Village Inn,501097337,Accra,South,-0.3213196,5.753924
Low End,K3A Trading,501097337,Accra,South,-0.31305,5.61017
Low End,Mother's sweet,501097337,Ghana,South,-0.3213196,5.753924
Low End,Belinda spot,501097337,Ghana,South,-0.3213196,5.753924
Low End,Base One,501097337,Ghana,South,-0.3213196,5.753924
Low End,WASHIMGTON,501097337,Ghana,South,-0.3213196,5.753924
Low End,Goil rest spot,501097337,Ghana,South,-0.3213196,5.753924
Low End,Evelyns Spot,501097337,Ghana,South,-0.3213196,5.753924
Low End,Bengi Of,501097337,Ghana,South,-0.3213196,5.753924
Low End,HAMAWU,501097337,Ghana,South,-0.3213196,5.753924
Low End,Auntie Martha Spot,542290158,Ghana,South,-0.3233121,5.6709339
Mainstream,Dogbe spot,247931386,Ghana,South,-0.2370094,5.6137643
Mainstream,Ntwede Pub,201477216,Accra,South,-0.26252,5.58864
Mainstream,Bongo Pub,249305944,Ghana,South,-0.2349685,5.6140757
Mainstream,CNN,242586589,Ghana,South,-0.2355145,5.6151223
Wholesaler,Visible Kab Ent,249798968,Accra,South,-0.2355932,5.6149958
Mainstream,Obaa Yaa Spot,244154483,Ghana,South,-0.2369556,5.6138517
Mainstream,Regies Ent,543600808,Accra,South,-0.24029,5.58062
Mainstream,Nagasaki,208558452,Ghana,South,-0.2365118,5.6198178
Low End,XL,244505273,Accra,South,-0.236536,5.619864
Mainstream,lariba spot,243142938,Ghana,South,-0.2331026,5.6129198
Mainstream,Good day happy night,548480479,Ghana,South,-0.233253,5.6128693
Mainstream,Mama africa,2477201224,Ghana,South,-0.2336,5.61101
Mainstream,Dromo,244629798,Accra,South,-0.2375,5.60352
Low End,Hide Out,507337342,Ghana,South,-0.23549,5.5975
Mainstream,Abodwese,247516053,Ghana,South,-0.23424,5.59727
Mainstream,somewhere,244252151,NORTH KANESHIE,South,-0.23082,5.5787
Low End,Happy Yourself spot,243478641,Ghana,South,-0.230938,5.57737
Mainstream,American Spot,278249853,Accra,South,-0.230938,5.57737
Mainstream,Small London spot,273975833,Accra,South,-0.230938,5.57737
Mainstream,Rocky's palace,249760991,Accra,South,-0.230938,5.57737
Mainstream,Jehovah is my friend,544004061,Accra,South,-0.2313575,5.6103234
Mainstream,Jerusalem,247078132,Ghana,South,-0.2353794,5.622441
Low End,Ofotin/s,545567428,Ghana,South,-0.2693969,5.6588007
Low End,EM Rose,279701073,Ghana,South,-0.2819106,5.69106
Low End,Kings way spot,548209478,Ghana,South,-0.2842968,5.6928096
Low End,Base Bar,279856412,Ghana,South,-0.30472,5.7441
Wholesaler,Paradise Ventures,243527515,Ghana,South,-0.3076406,5.7445331
Low End,Pull and push,204357311,Ghana,South,-0.3090045,5.746229
Low End,Sister Elven,501097337,Ghana,South,-0.3213196,5.753924
Low End,SIS AMA,501097337,Ghana,South,-0.3213196,5.753924
Low End,Anniette's spot,501097337,Ghana,South,-0.3213196,5.753924
Low End,Gloriface Spot,26635984,Ghana,South,-0.31636,5.74623
Mainstream,Freedom spot,243442693,Accra,South,-0.2364,5.5957
Low End,God Bless America,507337342,Ghana,South,-0.23549,5.5975
Low End,Vera Spot,507337342,Ghana,South,-0.23549,5.5975
Low End,Capos,507337342,Ghana,South,-0.23549,5.5975
Low End,Royal gate,507337342,Ghana,South,-0.23549,5.5975
Low End,D&D Spot,507337342,Ghana,South,-0.23549,5.5975
Low End,Suzzet,507337342,Ghana,South,-0.23549,5.5975
Low End,Last hour,507337342,Ghana,South,-0.23549,5.5975
Low End,Adodo,507337342,Ghana,South,-0.23549,5.5975
Low End,Biggy's,507337342,Ghana,South,-0.23549,5.5975
Low End,Ritzway Ventures,507337342,Ghana,South,-0.23549,5.5975
Low End,Cee korni,507337342,Ghana,South,-0.23549,5.5975
Low End,Little tokyo bar,507337342,Ghana,South,-0.23549,5.5975
Low End,Redeemer pub bar,507337342,Ghana,South,-0.23549,5.5975
Low End,Ultimate,507337342,Ghana,South,-0.23549,5.5975
Low End,Maa London,507337342,Ghana,South,-0.23549,5.5975
Low End,African annex,507337342,Ghana,South,-0.23549,5.5975
Low End,African Friday,507337342,Ghana,South,-0.23549,5.5975
Mainstream,Twedes,507337342,Ghana,South,-0.23549,5.5975
Mainstream,Bb link,507337342,Ghana,South,-0.23549,5.5975
Mainstream,Krisbe pub,507337342,Ghana,South,-0.23549,5.5975
Mainstream,Living stone,507337342,Ghana,South,-0.23549,5.5975
Mainstream,De Upssy,0244247905,Ghana,South,-0.23319,5.61466
Mainstream,De joint,507337342,Ghana,South,-0.23549,5.5975
Mainstream,rhythmz,244684084,Accra,South,-0.23176,5.59828
Mainstream,Zchris,200038442,Ghana,South,-0.22456,5.60029
Mainstream,GOLDEN KEY,248985671,Ghana,South,-0.22418,5.5983
Mainstream,ICE Bar,271903801,Accra,South,-0.22951,5.586386
Mainstream,jolinda,207063245,Accra,South,-0.23529,5.58955
Mainstream,Mayflower,201102221,Accra,South,-0.23319,5.58763
Mainstream,Mama Lizz,209074508,Accra,South,-0.23155,5.58499
Mainstream,Aba spot,0245902148,Accra,South,-0.23063,5.57902
Low End,Last Hour Pub,245121453,Accra,South,-0.23093,5.57737
Mainstream,Chris Sam,507337342,Accra,South,-0.25040,5.61445
Mainstream,Bamboo court,507337342,Ghana,South,-0.233385,5.577347
Mainstream,Felis corner,244443580,Accra,South,-0.23962,5.58502
Low End,El Mandy Ent,204955030,Accra,South,-0.23974,5.58348
Mainstream,Vera's pub,550271194,Accra,South,-0.23104,5.57726
Low End,Trust in God spot,249133850,Dodowa,South,-0.2364533,5.57737
Mainstream,Mr Amos Special Food,241570728,Accra,South,-0.23094,5.57737
Low End,Awake Ent,244573535,Accra,South,-0.24017,5.56799
Low End,Tutus Grab,5.716328,Accra,South,-0.23093,5.57737
Low End,Tvals pub,505235224,Accra,South,-0.23093,5.57737
Mainstream,jane's spot,240111381,Accra,South,-0.23841,5.5703
Mainstream,Grannies,531168736,Accra,South,-0.23492,5.57173
Mainstream,honest chef,244069006,Accra,South,-0.23199,5.57117
Mainstream,Mawena spot,245831282,Accra,South,-0.231,5.57289
Mainstream,Mothers Inn.,0241445040,Accra,South,-0.23144,5.57332
Mainstream,Time and Basil,244139099,Accra,South,-0.23559,5.57803
Mainstream,palace street,244052391,Accra,South,-0.22902,5.57571
Low End,Fiscarren Ent,244456536,Accra,South,-0.26957,5.58149
Low End,Rocky's palace,244048720,Accra,South,-0.230867,5.576906
Low End,Last Hour spot,243681164,Ghana,South,-0.231049,5.577268
Mainstream,Maggies Pub,556987590,Accra,South,-0.26409,5.58811
Low End,Twins pub,543999952,Dodowa,South,-0.231049,5.577268
Low End,Great Indee Spot,244695353,Accra,South,-0.23093,5.57737
Low End,Dans pub,507337342,Ghana,South,-0.23549,5.5975
Low End,Acura pub,507337342,Ghana,South,-0.23549,5.5975
Low End,Pool spot,507337342,Ghana,South,-0.23549,5.5975
Wholesaler,Joy ent.,507337342,Ghana,South,-0.23549,5.5975
Mainstream,africa palace,245689621,Ghana,South,-0.2643,5.5884
